Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_15_66,VPWR,li1,36.5700,51.6800,1.799841
FILLER_15_63,VPWR,li1,35.1900,51.6800,1.799849
FILLER_15_60,VPWR,li1,33.8100,51.6800,1.799849
FILLER_15_57,VPWR,li1,32.4300,51.6800,1.799858
FILLER_15_47,VPWR,li1,27.3700,51.6800,1.799876
FILLER_15_36,VPWR,li1,22.5400,51.6800,1.799903
FILLER_15_3,VPWR,li1,7.5900,51.6800,1.799901
FILLER_14_132,VPWR,li1,66.7000,51.6800,1.799749
FILLER_14_123,VPWR,li1,62.3300,51.6800,1.799750
FILLER_14_114,VPWR,li1,58.1900,51.6800,1.799760
FILLER_14_111,VPWR,li1,57.2700,51.6800,1.799760
FILLER_14_88,VPWR,li1,46.4600,51.6800,1.799796
FILLER_14_85,VPWR,li1,45.3100,51.6800,1.799804
FILLER_14_82,VPWR,li1,43.7000,51.6800,1.799814
FILLER_14_79,VPWR,li1,42.5500,51.6800,1.799814
FILLER_14_76,VPWR,li1,41.1700,51.6800,1.799824
FILLER_14_73,VPWR,li1,39.7900,51.6800,1.799824
FILLER_14_70,VPWR,li1,38.4100,51.6800,1.799831
FILLER_14_67,VPWR,li1,37.0300,51.6800,1.799841
FILLER_14_64,VPWR,li1,35.6500,51.6800,1.799841
FILLER_14_61,VPWR,li1,34.2700,51.6800,1.799849
FILLER_14_58,VPWR,li1,32.8900,51.6800,1.799858
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.799906
FILLER_14_3,VPWR,li1,7.5900,51.6800,1.799901
FILLER_13_111,VPWR,li1,56.8100,46.2400,1.799666
FILLER_13_108,VPWR,li1,55.8900,46.2400,1.799670
FILLER_13_63,VPWR,li1,34.9600,46.2400,1.799755
FILLER_13_55,VPWR,li1,31.0500,46.2400,1.799784
FILLER_13_11,VPWR,li1,11.2700,46.2400,1.799832
FILLER_12_109,VPWR,li1,56.1200,46.2400,1.799670
FILLER_12_91,VPWR,li1,47.8400,46.2400,1.799692
FILLER_12_88,VPWR,li1,46.6900,46.2400,1.799692
FILLER_12_82,VPWR,li1,43.7000,46.2400,1.799709
FILLER_12_58,VPWR,li1,32.8900,46.2400,1.799770
FILLER_12_55,VPWR,li1,31.5100,46.2400,1.799784
FILLER_12_44,VPWR,li1,26.4500,46.2400,1.799823
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.799836
FILLER_12_3,VPWR,li1,7.5900,46.2400,1.799832
FILLER_11_124,VPWR,li1,63.0200,40.8000,1.799615
FILLER_11_116,VPWR,li1,59.3400,40.8000,1.799617
FILLER_11_113,VPWR,li1,58.1900,40.8000,1.799618
FILLER_11_110,VPWR,li1,56.5800,40.8000,1.799618
FILLER_11_101,VPWR,li1,52.4400,40.8000,1.799625
FILLER_11_95,VPWR,li1,49.9100,40.8000,1.799629
FILLER_11_92,VPWR,li1,48.5300,40.8000,1.799633
FILLER_11_89,VPWR,li1,47.1500,40.8000,1.799633
FILLER_11_86,VPWR,li1,45.7700,40.8000,1.799637
FILLER_11_57,VPWR,li1,32.2000,40.8000,1.799717
FILLER_11_55,VPWR,li1,31.0500,40.8000,1.799717
FILLER_11_46,VPWR,li1,26.9100,40.8000,1.799775
FILLER_11_43,VPWR,li1,25.9900,40.8000,1.799775
FILLER_11_16,VPWR,li1,13.5700,40.8000,1.799809
FILLER_11_6,VPWR,li1,8.5100,40.8000,1.799809
FILLER_11_3,VPWR,li1,7.5900,40.8000,1.799809
FILLER_10_88,VPWR,li1,46.4600,40.8000,1.799637
FILLER_10_85,VPWR,li1,45.3100,40.8000,1.799637
FILLER_10_68,VPWR,li1,37.4900,40.8000,1.799664
FILLER_10_65,VPWR,li1,36.1100,40.8000,1.799664
FILLER_10_27,VPWR,li1,18.1700,40.8000,1.799815
FILLER_10_3,VPWR,li1,7.5900,40.8000,1.799809
FILLER_9_116,VPWR,li1,59.3400,35.3600,1.799633
FILLER_9_113,VPWR,li1,58.1900,35.3600,1.799639
FILLER_9_109,VPWR,li1,56.3500,35.3600,1.799643
FILLER_9_106,VPWR,li1,54.9700,35.3600,1.799643
FILLER_9_84,VPWR,li1,44.6200,35.3600,1.799699
FILLER_9_81,VPWR,li1,43.4700,35.3600,1.799699
FILLER_9_49,VPWR,li1,28.2900,35.3600,1.799813
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799884
FILLER_9_16,VPWR,li1,13.5700,35.3600,1.799882
FILLER_9_6,VPWR,li1,8.5100,35.3600,1.799882
FILLER_9_3,VPWR,li1,7.5900,35.3600,1.799882
FILLER_8_110,VPWR,li1,56.8100,35.3600,1.799639
FILLER_8_88,VPWR,li1,46.4600,35.3600,1.799687
FILLER_8_85,VPWR,li1,45.3100,35.3600,1.799687
FILLER_8_83,VPWR,li1,43.9300,35.3600,1.799699
FILLER_8_52,VPWR,li1,29.6700,35.3600,1.799813
FILLER_8_49,VPWR,li1,28.7500,35.3600,1.799813
