Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_15_57,VGND,li1,32.4300,54.4000,0.000181
FILLER_15_47,VGND,li1,27.3700,54.4000,0.000148
FILLER_15_36,VGND,li1,22.5400,54.4000,0.000126
FILLER_15_3,VGND,li1,7.5900,54.4000,0.000140
FILLER_14_132,VGND,li1,66.7000,48.9600,0.000321
FILLER_14_123,VGND,li1,62.3300,48.9600,0.000321
FILLER_14_114,VGND,li1,58.1900,48.9600,0.000313
FILLER_14_111,VGND,li1,57.2700,48.9600,0.000308
FILLER_14_88,VGND,li1,46.4600,48.9600,0.000276
FILLER_14_85,VGND,li1,45.3100,48.9600,0.000265
FILLER_14_82,VGND,li1,43.7000,48.9600,0.000256
FILLER_14_79,VGND,li1,42.5500,48.9600,0.000256
FILLER_14_76,VGND,li1,41.1700,48.9600,0.000239
FILLER_14_73,VGND,li1,39.7900,48.9600,0.000239
FILLER_14_70,VGND,li1,38.4100,48.9600,0.000221
FILLER_14_67,VGND,li1,37.0300,48.9600,0.000221
FILLER_14_64,VGND,li1,35.6500,48.9600,0.000208
FILLER_14_61,VGND,li1,34.2700,48.9600,0.000194
FILLER_14_58,VGND,li1,32.8900,48.9600,0.000194
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000179
FILLER_14_3,VGND,li1,7.5900,48.9600,0.000183
FILLER_13_111,VGND,li1,56.8100,48.9600,0.000308
FILLER_13_108,VGND,li1,55.8900,48.9600,0.000308
FILLER_13_63,VGND,li1,34.9600,48.9600,0.000208
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000181
FILLER_13_11,VGND,li1,11.2700,48.9600,0.000183
FILLER_12_109,VGND,li1,56.1200,43.5200,0.000334
FILLER_12_91,VGND,li1,47.8400,43.5200,0.000321
FILLER_12_88,VGND,li1,46.6900,43.5200,0.000317
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000312
FILLER_12_58,VGND,li1,32.8900,43.5200,0.000249
FILLER_12_55,VGND,li1,31.5100,43.5200,0.000229
FILLER_12_44,VGND,li1,26.4500,43.5200,0.000173
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000159
FILLER_12_3,VGND,li1,7.5900,43.5200,0.000166
FILLER_11_124,VGND,li1,63.0200,43.5200,0.000341
FILLER_11_116,VGND,li1,59.3400,43.5200,0.000339
FILLER_11_113,VGND,li1,58.1900,43.5200,0.000336
FILLER_11_110,VGND,li1,56.5800,43.5200,0.000336
FILLER_11_101,VGND,li1,52.4400,43.5200,0.000329
FILLER_11_95,VGND,li1,49.9100,43.5200,0.000326
FILLER_11_92,VGND,li1,48.5300,43.5200,0.000321
FILLER_11_89,VGND,li1,47.1500,43.5200,0.000321
FILLER_11_86,VGND,li1,45.7700,43.5200,0.000317
FILLER_11_57,VGND,li1,32.2000,43.5200,0.000229
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000229
FILLER_11_46,VGND,li1,26.9100,43.5200,0.000173
FILLER_11_43,VGND,li1,25.9900,43.5200,0.000173
FILLER_11_16,VGND,li1,13.5700,43.5200,0.000165
FILLER_11_6,VGND,li1,8.5100,43.5200,0.000166
FILLER_11_3,VGND,li1,7.5900,43.5200,0.000166
FILLER_10_88,VGND,li1,46.4600,38.0800,0.000238
FILLER_10_85,VGND,li1,45.3100,38.0800,0.000238
FILLER_10_68,VGND,li1,37.4900,38.0800,0.000205
FILLER_10_65,VGND,li1,36.1100,38.0800,0.000205
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000151
FILLER_10_3,VGND,li1,7.5900,38.0800,0.000157
FILLER_9_116,VGND,li1,59.3400,38.0800,0.000265
FILLER_9_113,VGND,li1,58.1900,38.0800,0.000265
FILLER_9_109,VGND,li1,56.3500,38.0800,0.000263
FILLER_9_106,VGND,li1,54.9700,38.0800,0.000260
FILLER_9_84,VGND,li1,44.6200,38.0800,0.000232
FILLER_9_81,VGND,li1,43.4700,38.0800,0.000232
FILLER_9_49,VGND,li1,28.2900,38.0800,0.000160
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000151
FILLER_9_16,VGND,li1,13.5700,38.0800,0.000157
FILLER_9_6,VGND,li1,8.5100,38.0800,0.000157
FILLER_9_3,VGND,li1,7.5900,38.0800,0.000157
FILLER_8_110,VGND,li1,56.8100,32.6400,0.000391
FILLER_8_88,VGND,li1,46.4600,32.6400,0.000330
FILLER_8_85,VGND,li1,45.3100,32.6400,0.000330
FILLER_8_83,VGND,li1,43.9300,32.6400,0.000311
FILLER_8_52,VGND,li1,29.6700,32.6400,0.000182
FILLER_8_49,VGND,li1,28.7500,32.6400,0.000182
FILLER_8_38,VGND,li1,23.6900,32.6400,0.000130
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000142
FILLER_8_17,VGND,li1,13.8000,32.6400,0.000148
FILLER_8_14,VGND,li1,12.6500,32.6400,0.000148
FILLER_8_3,VGND,li1,7.5900,32.6400,0.000148
FILLER_7_116,VGND,li1,59.3400,32.6400,0.000401
FILLER_7_83,VGND,li1,43.9300,32.6400,0.000311
FILLER_7_80,VGND,li1,43.0100,32.6400,0.000311
FILLER_7_57,VGND,li1,31.9700,32.6400,0.000209
FILLER_7_34,VGND,li1,21.3900,32.6400,0.000136
FILLER_7_6,VGND,li1,8.5100,32.6400,0.000148
FILLER_7_3,VGND,li1,7.5900,32.6400,0.000148
FILLER_6_117,VGND,li1,59.5700,27.2000,0.000257
FILLER_6_93,VGND,li1,48.9900,27.2000,0.000236
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000219
FILLER_6_80,VGND,li1,43.0100,27.2000,0.000219
FILLER_6_50,VGND,li1,28.7500,27.2000,0.000144
FILLER_6_32,VGND,li1,20.4700,27.2000,0.000160
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000160
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000171
FILLER_6_24,VGND,li1,17.2500,27.2000,0.000171
FILLER_6_6,VGND,li1,8.5100,27.2000,0.000180
FILLER_6_3,VGND,li1,7.5900,27.2000,0.000180
